seed,method,scenario,S,eps_wass,sigma,shift_rho,shift_boost,ground_cost,collision,collision_step,min_clearance,min_clearance_step,total_progress,control_effort,constraint_active_count,missed_mode_steps,total_steps,avg_solve_ms,p50_solve_ms,p95_solve_ms,max_solve_ms,total_dro_injected,avg_safe_horizon,clearance_5pct
2441117055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0130,28,20.4571,691.8662,391,27,80,4.4674,3.1549,14.4830,16.8671,0,7.0000,1.0252
2441118055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2328,16,20.1399,764.8054,672,15,80,5.0882,4.0301,16.0831,17.1484,0,7.0000,1.2412
2441119055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0668,15,17.7959,423.5240,335,20,80,4.9911,3.5928,15.7634,19.1563,0,7.0000,1.1038
2441120055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9471,42,2.3993,74.0929,84,20,80,6.0184,3.7045,14.7938,19.0093,0,7.0000,0.9693
2441121055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1777,16,20.1590,746.8626,655,20,80,5.0738,4.4795,13.4146,19.4692,0,7.0000,1.2243
2441122055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9833,47,2.8681,177.2473,290,20,80,9.7282,6.5286,22.1522,24.4680,0,7.0000,1.0102
2441123055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,33,0.8240,34,3.7155,110.8274,174,22,80,9.1201,5.8744,22.2936,22.7167,0,7.0000,0.8483
2441124055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,16,0.7271,34,2.4527,69.6495,111,16,80,10.8479,7.4017,25.1349,26.1821,0,7.0000,0.7440
2441125055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9574,69,3.0810,122.6014,139,14,80,9.2100,6.8093,25.5314,29.2054,0,7.0000,0.9674
2441126055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,15,0.0976,22,20.1074,764.0509,516,5,80,9.0947,6.1436,29.5526,32.2344,0,7.0000,0.2369
2441127055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0585,12,12.4468,256.3487,340,30,80,9.4922,6.2140,24.8313,30.1966,0,7.0000,1.1151
2441128055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1094,11,20.1085,742.4259,606,19,80,5.4307,4.3334,16.1308,23.7375,0,7.0000,1.1475
2441129055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2426,12,20.1156,746.0911,524,25,80,5.5624,3.7250,17.9090,23.2978,0,7.0000,1.3022
2441130055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3545,15,20.1123,772.2632,584,28,80,5.2508,3.7294,15.0673,25.6608,0,7.0000,1.4039
2441131055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2737,11,20.1097,743.1038,613,11,80,5.9206,4.3832,22.9476,27.0447,0,7.0000,1.3391
2441132055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,25,0.8218,64,2.2384,69.3707,131,25,80,9.4044,6.0657,25.5742,29.7260,0,7.0000,0.8249
937961351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2828,12,20.1017,779.0299,577,19,80,4.7402,2.8989,17.3411,23.2796,0,7.0000,1.3195
937962351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1062,15,17.3393,382.1570,382,21,80,8.1305,6.1212,24.1638,27.7087,0,7.0000,1.1227
937963351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1911,18,20.4984,702.3426,545,18,80,6.2573,5.0946,18.9291,19.7216,0,7.0000,1.1956
937964351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,25,0.1782,43,2.1336,110.9919,110,25,80,11.0537,6.6471,26.8824,28.8791,0,7.0000,0.1943
