seed,variant,step,ego_x,ego_y,ego_theta,obs_x,obs_y,obs_mode,collision,missed_mode,clearance
200042,OT,27,3.3068,-0.9272,-0.2767,2.9633,0.1926,turn_right,0,0,1.1713
200042,OT,28,3.7878,-1.0431,-0.1967,2.9161,0.1644,turn_right,0,0,1.4893
200042,OT,29,4.3063,-1.1248,-0.1167,2.8680,0.1377,decelerating,0,0,1.9138
200042,OT,30,4.8595,-1.1671,-0.0367,2.8199,0.1111,constant_velocity,0,0,2.4070
200042,OT,31,5.4443,-1.1767,0.0037,2.7666,0.0796,constant_velocity,0,0,2.9578
200042,OT,32,6.0585,-1.1497,0.0835,2.7134,0.0481,constant_velocity,0,0,3.5531
200042,OT,33,6.7027,-1.1218,0.0035,2.6602,0.0168,constant_velocity,0,0,4.1998
200042,OT,34,7.3769,-1.0923,0.0835,2.6071,-0.0147,constant_velocity,0,0,4.8900
200042,OT,35,8.0810,-1.0617,0.0039,2.5538,-0.0461,constant_velocity,0,0,5.6197
200042,OT,36,8.8150,-1.0292,0.0839,2.5005,-0.0775,decelerating,0,0,6.3858
200042,OT,37,9.5791,-0.9959,0.0039,2.4472,-0.1089,decelerating,0,1,7.1868
200042,OT,38,10.3730,-0.9608,0.0839,2.3889,-0.1452,decelerating,0,0,8.0257
200042,OT,39,11.1970,-0.9248,0.0039,2.3255,-0.1864,decelerating,0,0,8.9022
200042,OT,40,12.0509,-0.8871,0.0839,2.2570,-0.2328,decelerating,0,0,9.8157
200042,OT,41,12.9348,-0.8484,0.0040,2.1835,-0.2844,decelerating,0,1,10.7660
200042,OT,42,13.8100,-0.8102,0.0840,2.1050,-0.3411,constant_velocity,0,0,11.7145
200042,OT,43,14.6358,-0.7543,0.0510,2.0215,-0.4026,decelerating,0,0,12.6193
200042,OT,44,15.4101,-0.6840,0.1310,1.9380,-0.4640,decelerating,0,0,13.4739
200042,OT,45,16.1303,-0.5793,0.1579,1.8496,-0.5305,decelerating,0,0,14.2807
200042,OT,46,16.7970,-0.4578,0.2034,1.7562,-0.6021,turn_right,0,0,15.0414
200042,OT,47,17.4161,-0.3554,0.1234,1.6556,-0.6758,turn_left,0,0,15.7638
200042,OT,48,17.9917,-0.3070,0.0434,1.5573,-0.7525,constant_velocity,0,0,16.4405
200042,OT,49,18.5193,-0.3049,-0.0366,1.4588,-0.8294,constant_velocity,0,0,17.0686
200042,OT,50,18.9969,-0.3036,0.0434,1.3603,-0.9064,constant_velocity,0,0,17.6469
200042,OT,51,19.4231,-0.2683,0.1234,1.2618,-0.9833,decelerating,0,1,18.1753
200042,OT,52,19.7957,-0.2072,0.2034,1.1634,-1.0603,decelerating,0,0,18.6518
200042,OT,53,20.1138,-0.1286,0.2834,1.0601,-1.1423,decelerating,0,1,19.0806
200042,OT,54,20.3772,-0.0407,0.3634,0.9519,-1.2294,decelerating,0,0,19.4617
200042,OT,55,20.5868,0.0484,0.4434,0.8386,-1.3216,decelerating,0,0,19.7956
200042,OT,56,20.7443,0.1307,0.5234,0.7204,-1.4190,decelerating,0,0,20.0838
200042,OT,57,20.8524,0.1986,0.6034,0.5972,-1.5213,constant_velocity,0,0,20.3281
200042,OT,58,20.9163,0.2430,0.6131,0.4691,-1.6286,constant_velocity,0,0,20.5327
200042,OT,59,20.9394,0.2583,0.5331,0.3409,-1.7361,constant_velocity,0,0,20.6949
200042,OT,60,20.9197,0.2481,0.4531,0.2127,-1.8436,constant_velocity,0,0,20.8124
200042,OT,61,20.8534,0.2194,0.3731,0.0845,-1.9511,constant_velocity,0,0,20.8821
