environment,variant,seed,collision,missed_mode_rate,progress,min_clearance,mean_solve_ms,p99_solve_ms
Straight,OT+SH,160055,1,0.2000,20.0218,0.6078,1.4629,5.4577
Straight,OT+SH,160056,0,0.2133,20.0718,1.0778,1.1505,5.7283
Straight,OT+SH,160057,0,0.1800,20.0719,1.0258,1.1958,3.8554
Straight,OT+SH,160058,0,0.1600,20.0709,1.0249,0.9764,3.8355
Straight,OT+SH,160059,0,0.2333,20.0716,1.0005,1.2006,5.4952
Straight,OT+SH,160060,0,0.1733,20.0717,1.0830,1.1609,4.1041
Straight,OT+SH,160061,0,0.1200,20.0710,1.0590,1.0414,4.0077
Straight,OT+SH,160062,0,0.1800,20.0696,1.0681,1.0386,3.3627
Straight,OT+SH,160063,0,0.1333,20.0689,1.0116,1.1758,5.0485
Straight,OT+SH,160064,0,0.2600,20.0718,1.0922,1.3204,5.5146
Straight,OT+SH,160065,0,0.1733,20.0719,1.0478,1.3048,5.2873
Straight,OT+SH,160066,0,0.2000,20.0709,1.0978,1.2500,4.8461
Straight,OT+SH,160067,0,0.2267,20.0717,0.9787,1.1333,3.5553
Straight,OT+SH,160068,0,0.2067,20.0719,1.0636,1.1948,4.1166
Straight,OT+SH,160069,0,0.1200,20.0691,1.0768,1.1032,5.5283
Straight,OT+SH,160070,0,0.1200,20.0716,1.0649,1.0569,3.6605
Straight,OT+SH,160071,0,0.1333,20.0718,1.1006,1.1521,4.7821
Straight,OT+SH,160072,0,0.1933,20.0300,1.0278,1.0803,3.6930
Straight,OT+SH,160073,0,0.1933,20.0671,1.1231,1.0646,4.1559
Straight,OT+SH,160074,0,0.1867,20.0719,1.0717,1.3632,6.3353
Straight,OT+SH,160075,0,0.1533,20.0713,1.0739,1.1259,4.7614
Straight,OT+SH,160076,0,0.1333,20.0719,1.0781,1.0691,4.6637
Straight,OT+SH,160077,0,0.3000,20.0567,1.0921,1.2822,4.0771
Straight,OT+SH,160078,0,0.1933,20.0720,1.1222,1.1945,3.9888
Straight,OT+SH,160079,0,0.1467,20.0714,1.0743,1.1810,4.3230
Straight,OT+SH,160080,0,0.1867,20.0703,1.0333,1.1788,4.4320
Straight,OT+SH,160081,0,0.2533,20.0684,1.0696,0.9821,3.6836
Straight,OT+SH,160082,0,0.1667,20.0684,1.1468,1.5028,7.3686
