step,weight_type,mode,weight,true_mode
51,UNIFORM,lane_change_right,0.166667,decelerating
51,UNIFORM,turn_left,0.166667,decelerating
51,UNIFORM,turn_right,0.166667,decelerating
52,UNIFORM,constant_velocity,0.166667,decelerating
52,UNIFORM,decelerating,0.166667,decelerating
52,UNIFORM,lane_change_left,0.166667,decelerating
52,UNIFORM,lane_change_right,0.166667,decelerating
52,UNIFORM,turn_left,0.166667,decelerating
52,UNIFORM,turn_right,0.166667,decelerating
53,UNIFORM,constant_velocity,0.166667,decelerating
53,UNIFORM,decelerating,0.166667,decelerating
53,UNIFORM,lane_change_left,0.166667,decelerating
53,UNIFORM,lane_change_right,0.166667,decelerating
53,UNIFORM,turn_left,0.166667,decelerating
53,UNIFORM,turn_right,0.166667,decelerating
54,UNIFORM,constant_velocity,0.166667,decelerating
54,UNIFORM,decelerating,0.166667,decelerating
54,UNIFORM,lane_change_left,0.166667,decelerating
54,UNIFORM,lane_change_right,0.166667,decelerating
54,UNIFORM,turn_left,0.166667,decelerating
54,UNIFORM,turn_right,0.166667,decelerating
55,UNIFORM,constant_velocity,0.166667,decelerating
55,UNIFORM,decelerating,0.166667,decelerating
55,UNIFORM,lane_change_left,0.166667,decelerating
55,UNIFORM,lane_change_right,0.166667,decelerating
55,UNIFORM,turn_left,0.166667,decelerating
55,UNIFORM,turn_right,0.166667,decelerating
56,UNIFORM,constant_velocity,0.166667,decelerating
56,UNIFORM,decelerating,0.166667,decelerating
56,UNIFORM,lane_change_left,0.166667,decelerating
56,UNIFORM,lane_change_right,0.166667,decelerating
56,UNIFORM,turn_left,0.166667,decelerating
56,UNIFORM,turn_right,0.166667,decelerating
57,UNIFORM,constant_velocity,0.166667,decelerating
57,UNIFORM,decelerating,0.166667,decelerating
57,UNIFORM,lane_change_left,0.166667,decelerating
57,UNIFORM,lane_change_right,0.166667,decelerating
57,UNIFORM,turn_left,0.166667,decelerating
57,UNIFORM,turn_right,0.166667,decelerating
58,UNIFORM,constant_velocity,0.166667,decelerating
58,UNIFORM,decelerating,0.166667,decelerating
58,UNIFORM,lane_change_left,0.166667,decelerating
58,UNIFORM,lane_change_right,0.166667,decelerating
58,UNIFORM,turn_left,0.166667,decelerating
58,UNIFORM,turn_right,0.166667,decelerating
59,UNIFORM,constant_velocity,0.166667,decelerating
59,UNIFORM,decelerating,0.166667,decelerating
59,UNIFORM,lane_change_left,0.166667,decelerating
59,UNIFORM,lane_change_right,0.166667,decelerating
59,UNIFORM,turn_left,0.166667,decelerating
59,UNIFORM,turn_right,0.166667,decelerating
0,FREQUENCY,constant_velocity,1.000000,constant_velocity
0,FREQUENCY,decelerating,0.000000,constant_velocity
0,FREQUENCY,lane_change_left,0.000000,constant_velocity
0,FREQUENCY,lane_change_right,0.000000,constant_velocity
0,FREQUENCY,turn_left,0.000000,constant_velocity
0,FREQUENCY,turn_right,0.000000,constant_velocity
1,FREQUENCY,constant_velocity,1.000000,constant_velocity
1,FREQUENCY,decelerating,0.000000,constant_velocity
