stage,scenario_id,obs_id,timestep,x,y,probability
original,26,0,8,3.7179,0.9269,0.6944
original,26,0,10,3.6485,0.8889,0.6944
original,26,1,0,6.0000,-1.5000,0.6944
original,26,1,2,5.9247,-1.4713,0.6944
original,26,1,4,5.8422,-1.4365,0.6944
original,26,1,6,5.7572,-1.3845,0.6944
original,26,1,8,5.6568,-1.3324,0.6944
original,26,1,10,5.5500,-1.2803,0.6944
original,27,0,0,4.0000,1.0000,0.6944
original,27,0,2,3.8831,1.0045,0.6944
original,27,0,4,3.7386,1.0135,0.6944
original,27,0,6,3.5872,1.0216,0.6944
original,27,0,8,3.4353,1.0236,0.6944
original,27,0,10,3.2853,1.0259,0.6944
original,27,1,0,6.0000,-1.5000,0.6944
original,27,1,2,5.9416,-1.4525,0.6944
original,27,1,4,5.8752,-1.3940,0.6944
original,27,1,6,5.7865,-1.3337,0.6944
original,27,1,8,5.6979,-1.2736,0.6944
original,27,1,10,5.6100,-1.2164,0.6944
original,28,0,0,4.0000,1.0000,0.6944
original,28,0,2,3.9112,0.9941,0.6944
original,28,0,4,3.8433,0.9892,0.6944
original,28,0,6,3.7802,0.9963,0.6944
original,28,0,8,3.7249,1.0109,0.6944
original,28,0,10,3.6780,1.0275,0.6944
original,28,1,0,6.0000,-1.5000,0.6944
original,28,1,2,5.9478,-1.4551,0.6944
original,28,1,4,5.9088,-1.4069,0.6944
original,28,1,6,5.8583,-1.3620,0.6944
original,28,1,8,5.8062,-1.3089,0.6944
original,28,1,10,5.7745,-1.2449,0.6944
original,29,0,0,4.0000,1.0000,0.6944
original,29,0,2,3.8929,1.0015,0.6944
original,29,0,4,3.7798,1.0006,0.6944
original,29,0,6,3.6612,1.0018,0.6944
original,29,0,8,3.5509,1.0059,0.6944
original,29,0,10,3.4451,1.0216,0.6944
original,29,1,0,6.0000,-1.5000,0.6944
original,29,1,2,5.9288,-1.4625,0.6944
original,29,1,4,5.8642,-1.4266,0.6944
original,29,1,6,5.7999,-1.3971,0.6944
original,29,1,8,5.7264,-1.3703,0.6944
original,29,1,10,5.6346,-1.3533,0.6944
after_dominance,1,0,0,4.0000,1.0000,0.6944
after_dominance,1,0,2,3.9032,0.9978,0.6944
after_dominance,1,0,4,3.8178,0.9846,0.6944
after_dominance,1,0,6,3.7551,0.9854,0.6944
after_dominance,1,0,8,3.6872,0.9807,0.6944
after_dominance,1,0,10,3.6088,0.9596,0.6944
after_dominance,1,1,0,6.0000,-1.5000,0.6944
after_dominance,1,1,2,5.9428,-1.4579,0.6944
after_dominance,1,1,4,5.8844,-1.4127,0.6944
after_dominance,1,1,6,5.8147,-1.3562,0.6944
after_dominance,1,1,8,5.7134,-1.2886,0.6944
after_dominance,1,1,10,5.5906,-1.2230,0.6944
after_dominance,5,0,0,4.0000,1.0000,0.6944
after_dominance,5,0,2,3.9020,0.9992,0.6944
after_dominance,5,0,4,3.7928,0.9882,0.6944
after_dominance,5,0,6,3.6745,0.9679,0.6944
after_dominance,5,0,8,3.5514,0.9301,0.6944
after_dominance,5,0,10,3.4190,0.8906,0.6944
after_dominance,5,1,0,6.0000,-1.5000,0.6944
after_dominance,5,1,2,5.9314,-1.4617,0.6944
after_dominance,5,1,4,5.8395,-1.4106,0.6944
after_dominance,5,1,6,5.7333,-1.3553,0.6944
after_dominance,5,1,8,5.6378,-1.3241,0.6944
